Country,2023,2015
Singapore,606,597
Chinese Taipei,572,569
Japan,557,571
South Korea,545,556
England,531,537
Finland,531,#N/A
Turkiye,530,#N/A
Hong Kong SAR,528,546
Czech Republic,527,#N/A
Ireland,525,530
Hungary,522,530
Sweden,521,522
Australia,520,512
Lithuania,519,519
United States,513,527
Austria,512,#N/A
Portugal,506,#N/A
New Zealand,502,513
Malta,501,481
Italy,501,499
Norway,488,#N/A
United Arab Emirates,486,477
France,486,#N/A
Qatar,481,457
Israel,481,507
TIMSS 2023 International Average,478,#N/A
Romania,466,#N/A
Cyprus,464,#N/A
Oman,456,455
Chile,455,454
Bahrain,452,466
Georgia,448,443
Kazakhstan,443,533
Malaysia,426,471
Brazil,420,#N/A
Kuwait,420,411
Saudi Arabia,419,392
Iran,419,456
Jordan,413,426
Azerbaijan,411,#N/A
Uzbekistan,396,#N/A
Palestinian Nat'l Auth.,393,#N/A
South Africa,362,#N/A
Morocco,327,396
Cote d'Ivoire,183,#N/A
